Index,Model,Price,specs,gen,Core_Thread,RAM,Storage,Graphics,display,os,Warranty
868,HP Omen 16-n0049AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹1,16,180",66,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050Ti,"16 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
869,Lenovo V14 Gen 2 ITL 82KAA001IH Laptop (11th Gen Core i5/ 8GB/ 1TB HDD/ DOS),"₹49,999",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,Intel Integrated,"14 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
870,Lenovo ThinkBook 13s Gen 2 20V9A03QIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹69,990",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB LPDDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"13 inches, 1920 x 1200 pixels",Windows 10 OS,1 Year Warranty
871,Dell Vostro 15 3500 2022 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 2GB Graph),"₹67,999",,11th Gen Intel Core i5,8 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce Mx330,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,2 USB 3.0 Ports
872,Lenovo Thinkpad E14 Gen 21E3S05800 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹1,02,490",66,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
873,Lenovo Yoga 9 82LU008TIN Laptop (12th Ge Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,79,990",69,12th Gen Intel Core i7 1280P,"14 Cores, 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 3840 x 2160 pixels",Windows 11 OS,1 Year Warranty
874,Dell Vostro 3510 2022 Laptop (11th Gen Core i3/ 16GB/ 1TB 256GB SSD/ Win11 Home),"₹49,850",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
875,Lenovo Yoga 7 Flip 82QE0060INLaptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹1,11,990",69,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
876,Fujitsu UH-X 4ZR1K06212 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹99,990",68,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB  RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
877,HP Envy x360 13-bf0062TU Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,04,990",68,12th Gen Intel Core i7 1250U,"10 Cores, 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
